Metric,Fellowship,Two Towers,Return of the King
Total Sentences,10533.0,10140.0,7200.0
Dialogue Sentences,4285.0,4115.0,3134.0
Questions Sentences,702.0,867.0,578.0
Exclamation Sentences,1172.0,1090.0,818.0
Pure Narrative Sentences,5834.0,5398.0,3803.0
Dialogue Ratio (Percent),40.68166714136524,40.581854043392504,43.52777777777778
