,Fellowship,Two Towers,Return of the King
Flesch Ease,80.19149814833203,83.2410547521281,80.1572991243182
Flesch Grade,6.385275436338478,5.53790382131135,6.826274541046242
Avg Words/Sent,17.35333206759066,15.654570555172073,19.10929037633662
Avg Syll/Word,1.288769146608315,1.2731035004062916,1.2681060418877084
