Metric,Fellowship,Two Towers,Return of the King
Avg clauses per sentence,1.6534080121511296,1.5393945370279065,1.7128176642133037
Avg clause density (per 10 tokens),1.2715770326082383,1.388047216281949,1.263208962709696
Max clauses in one sentence,9.0,9.0,8.0
Sentences with 3+ clauses,1687.0,1268.0,1274.0
